username,community,pagerank,betweenness,in_degree,out_degree,narrative_similarity,tweet_frequency,reply_ratio,is_buzzer
JAditya36003,0,0.0007796825227094,0.0,0,1,0.1873511690152529,1,1.0,0
hoammss,0,0.0007796825227094,0.0,0,1,0.1697126295923633,1,1.0,0
kenekadit_,1,0.0007796825227094,0.0,0,3,0.1690875782798769,4,0.75,0
ARSIPAJA,2,0.0117413283413991,0.0,19,0,0.4233653199406995,1,0.0,0
UwongEdanKoe,3,0.0007796825227094,0.0,0,2,0.432297617695865,2,1.0,1
geloraco,3,0.0011111839083552,0.0,1,0,0.4322976176958647,2,0.0,0
lockedbyyuya,4,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
whyuwibowo,5,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
MuliadiDjaman,6,0.0007796825227094,0.0,0,1,0.1946092832732966,1,1.0,0
Aceh,6,0.0241064381639069,5.677890787005036e-05,36,1,0.1268437827614126,2,0.5,0
BukanKaumMuna,0,0.0007796825227094,0.0,0,2,0.2097460112173692,3,0.6666666666666666,0
syamsulfirdaus,6,0.0007796825227094,0.0,0,1,0.1460595392629988,1,1.0,0
JefriAdriansya6,6,0.0007796825227094,0.0,0,1,0.1592474231414745,1,1.0,0
grok,7,0.0007796825227094,0.0,0,20,0.2059925748436639,38,0.5263157894736842,0
Ikademan_Yong,8,0.0007796825227094,0.0,0,1,0.7071067811865476,1,1.0,0
abu_waras,8,0.0014426852940011,0.0,1,0,0.7071067811865475,1,0.0,0
missallzunday,9,0.0007796825227094,0.0,0,1,0.4678520974318652,1,1.0,0
tanyakanrl,9,0.0034316936078762,0.0,4,0,0.484110628466933,1,0.0,0
privatekonoha,0,0.0007796825227094,0.0,0,1,0.2084924169680599,2,0.5,0
GunRomli,0,0.001663686217765,0.0,2,0,0.1823567365516223,1,0.0,0
orang_dpr,10,0.0007796825227094,0.0,0,2,0.7071067811865474,2,1.0,1
citystreetlight,11,0.0007796825227094,0.0,0,2,0.8212776351378591,2,1.0,1
chatrine_2003,12,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
TomEmbong,13,0.0007796825227094,0.0,0,1,0.8172363776602622,1,1.0,0
Simemaki,13,0.0014426852940011,0.0,1,0,0.8172363776602622,1,0.0,0
BalimbingJ,14,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
saerozi63,15,0.0007796825227094,0.0,0,1,0.4221821397701404,2,0.5,0
Hungarianplayer,16,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
Kirone212,17,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
__r17x,18,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
Zulfadl87172932,6,0.0007796825227094,0.0,0,1,0.1159109071779393,1,1.0,0
l__ll__I__ll__l,19,0.0007796825227094,0.0,0,1,0.5119422045940716,1,1.0,0
hrdbacot,19,0.0047576991504597,0.0,6,0,0.3600762206239239,1,0.0,0
Aprazalcha,15,0.0007796825227094,0.0,0,1,0.3322168378550589,1,1.0,0
Ar_910,20,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
gitgitayu,2,0.0007796825227094,0.0,0,1,0.2506266932165393,1,1.0,0
asdiutama,0,0.0007796825227094,0.0,0,3,0.5354190652390082,3,1.0,1
msaid_didu,0,0.0027686908365845,0.0,4,0,0.2313120366907364,2,0.0,0
_argnwn,21,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
AsmaAsmawijaya,22,0.0007796825227094,0.0,0,1,0.5898793546473595,1,1.0,0
